name,category,vendor,price,product_url,is_sold_out,scraped_at
,dairy-eggs,Lancaster Farm Fresh CooperativeLancaster Farm Fresh ...Organic Yellow Wax Beans,8 oz$4.99,https://farmtopeople.com/product/add-veg-5575,False,2025-08-16T14:39:50.584879
,dairy-eggs,Eagle Road FarmEagle Road FarmOrganically Grown Green Beans,12 oz$3.99,https://farmtopeople.com/product/add-veg-5621,False,2025-08-16T14:39:50.601069
,dairy-eggs,Grown in CaliforniaGrown in CaliforniaOrganic Broccoli,1 bunch$4.49,https://farmtopeople.com/product/broccoli-4483,False,2025-08-16T14:39:50.618606
,dairy-eggs,Taproot FarmTaproot FarmOrganic Sprouting Broccoli,8 oz$5.99,https://farmtopeople.com/product/sprouting-broccoli-organic-5010,False,2025-08-16T14:39:50.636373
,dairy-eggs,Smith's FarmSmith's FarmBroccoli Crown,1 head$2.99,https://farmtopeople.com/product/add-veg-5977,False,2025-08-16T14:39:50.654383
,dairy-eggs,Smith's FarmSmith's FarmWhite Cauliflower,1 head$3.99,https://farmtopeople.com/product/white-cauliflower-4561,False,2025-08-16T14:39:50.671165
,dairy-eggs,Dagele Brothers ProduceDagele Brothers Produ...Cheddar Cauliflower,1 head$4.99,https://farmtopeople.com/product/cheddar-cauliflower-SKU2301,False,2025-08-16T14:39:50.688187
,dairy-eggs,Dagele Brothers ProduceDagele Brothers Produ...Green Cabbage,1 head$3.29,https://farmtopeople.com/product/green-cabbage-organic-4935,False,2025-08-16T14:39:50.706847
,dairy-eggs,MX Morningstar FarmMX Morningstar FarmOrganic Caraflex Cabbage,1 head$4.99,https://farmtopeople.com/product/caraflex-cabbage-1878,False,2025-08-16T14:39:50.724078
,dairy-eggs,Dagele Brothers ProduceDagele Brothers Produ...Red Cabbage,1 head$4.99,https://farmtopeople.com/product/red-cabbage-1714,False,2025-08-16T14:39:50.740294
,dairy-eggs,Sun Sprout FarmSun Sprout FarmOrganic Bunched Kohlrabi,1 bunch$2.99,https://farmtopeople.com/product/purple-kohlrabi-2320,False,2025-08-16T14:39:50.759102
,dairy-eggs,Grown in CaliforniaGrown in CaliforniaOrganic Brussel Sprouts,12.0 oz$5.99,https://farmtopeople.com/product/brussels-sprouts-4533,False,2025-08-16T14:39:50.775260
1in your box,dairy-eggs,Sun Sprout FarmSun Sprout FarmOrganic Bunched Orange Carrots,1 bunch$3.99,https://farmtopeople.com/product/orange-carrots-4647,False,2025-08-16T14:39:50.790163
,dairy-eggs,Sun Sprout FarmSun Sprout FarmOrganic Orange Carrots,1 lb$3.99,https://farmtopeople.com/product/loose-orange-carrots-0357,False,2025-08-16T14:39:50.810542
,dairy-eggs,Jericho Settlers FarmJericho Settlers FarmOrganic Baby Orange Carrots,1 Lbs$8.99,https://farmtopeople.com/product/baby-carrots-2089,False,2025-08-16T14:39:50.827970
,dairy-eggs,Sun Sprout FarmSun Sprout FarmOrganic Bunched Rainbow Carrots,1 bunch$3.99,https://farmtopeople.com/product/orange-or-rainbow-carrots-4163,False,2025-08-16T14:39:50.847554
,dairy-eggs,Dagele Brothers ProduceDagele Brothers Produ...Yukon Gold Potatoes,2 lbs$3.99,https://farmtopeople.com/product/yukon-gold-potatoes-0010,False,2025-08-16T14:39:50.866071
,dairy-eggs,Dagele Brothers ProduceDagele Brothers Produ...Red Potatoes,1 lbs$1.99,https://farmtopeople.com/product/add-veg-5439,False,2025-08-16T14:39:50.880722
,dairy-eggs,North Carolina GrownNorth Carolina GrownSweet Potatoes,1.5 Lbs$2.99,https://farmtopeople.com/product/sweet-potatoes-3169,False,2025-08-16T14:39:50.897776
,dairy-eggs,North Carolina GrownNorth Carolina GrownOrganic Sweet Potatoes,1.5 Lbs$5.99,https://farmtopeople.com/product/orange-sweet-potatoes-0009,False,2025-08-16T14:39:50.912583
1in your box,dairy-eggs,Sun Sprout FarmSun Sprout FarmOrganic Red Fingerling Potatoes,1.0 Lbs$4.99,https://farmtopeople.com/product/mixed-fingerling-potatoes-3359,False,2025-08-16T14:39:50.927864
,dairy-eggs,Greater TaterGreater TaterMixed Fingerling Potatoes,1 lbs$4.99,https://farmtopeople.com/product/add-veg-5579,False,2025-08-16T14:39:50.944182
,dairy-eggs,Sun Sprout FarmSun Sprout FarmOrganic Fenway New Potatoes,1 lbs$2.99,https://farmtopeople.com/product/add-veg-5578,False,2025-08-16T14:39:50.959807
,dairy-eggs,Sun Sprout FarmSun Sprout FarmOrganic Belmonda New Potatoes,1 lbs$2.99,https://farmtopeople.com/product/add-veg-5577,False,2025-08-16T14:39:50.975242
,dairy-eggs,Sun Sprout FarmSun Sprout FarmOrganic Peter Wilcox Potatoes,1 Lbs$2.99,https://farmtopeople.com/product/add-veg-5576,False,2025-08-16T14:39:50.989779
,dairy-eggs,La GramaLa GramaOrganic Ginger Root,4 oz$1.99,https://farmtopeople.com/product/ginger-root-3320,False,2025-08-16T14:39:51.005365
,dairy-eggs,Grown in JamaicaGrown in JamaicaOrganic Turmeric Root,4 oz$2.99,https://farmtopeople.com/product/fresh-turmeric-3145,False,2025-08-16T14:39:51.020415
,dairy-eggs,Sun Sprout FarmSun Sprout FarmOrganic Red Radishes,1 bunch$3.99,https://farmtopeople.com/product/red-radishes-4936,False,2025-08-16T14:39:51.036245
,dairy-eggs,Sun Sprout FarmSun Sprout FarmOrganic French Breakfast Radishes,1 bunch$3.99,https://farmtopeople.com/product/loose-french-breakfast-radishes-0436,False,2025-08-16T14:39:51.051617
,dairy-eggs,Lancaster Farm Fresh CooperativeLancaster Farm Fresh ...Organic Loose Red Beets,1 lbs$2.99,https://farmtopeople.com/product/loose-red-beets-1706,False,2025-08-16T14:39:51.066870
,dairy-eggs,Row 7 Seed CompanyRow 7 Seed CompanyOrganic Badger Flame Beets,1 lbs$5.99,https://farmtopeople.com/product/badger-flame-beets-3055,False,2025-08-16T14:39:51.081918
,dairy-eggs,Sun Sprout FarmSun Sprout FarmOrganic Gold Beets,1 Lbs$2.99,https://farmtopeople.com/product/add-veg-5522,False,2025-08-16T14:39:51.098152
,dairy-eggs,Sun Sprout FarmSun Sprout FarmOrganic Bunched Kohlrabi,1 bunch$2.99,https://farmtopeople.com/product/purple-kohlrabi-2320,False,2025-08-16T14:39:51.113269
,dairy-eggs,Farm to PeopleFarm to PeopleLocal Mushrooms,$14.99,https://farmtopeople.com/product/local-mushrooms-0344,False,2025-08-16T14:39:51.128789
,dairy-eggs,Tivoli MushroomsTivoli MushroomsOrganic Lion's Mane Mushrooms,4 oz$6.49,https://farmtopeople.com/product/lions-mane-mushrooms-1499,False,2025-08-16T14:39:51.144892
,dairy-eggs,Tivoli MushroomsTivoli MushroomsOrganic Yellow Oyster Mushrooms,6 oz$7.99,https://farmtopeople.com/product/yellow-oyster-mushrooms-1845,False,2025-08-16T14:39:51.160575
,dairy-eggs,Tivoli MushroomsTivoli MushroomsOrganic Blue Oyster Mushrooms,4 oz$5.29,https://farmtopeople.com/product/blue-oyster-mushrooms-0632,False,2025-08-16T14:39:51.175833
,dairy-eggs,Tivoli MushroomsTivoli MushroomsOrganic Pioppini Mushrooms,6 oz$8.99,https://farmtopeople.com/product/add-veg-4026,False,2025-08-16T14:39:51.190801
